first	second	richness	neutral	phylogenetic
EHI02092	EHI02075	0	6.747301227667535e-4	2.051377519273201e-4
EHI02092	EHI02113	0.041420118343195256	0.007708771879466725	0.0023007087669020265
EHI02092	EHI02066	0.2129032258064516	0.3919530824164158	0.08604325518805811
EHI02092	EHI02119	0.44186046511627897	0.46030618072105267	0.10569065213042428
EHI02092	EHI02123	0.5206611570247932	0.48965347447461605	0.09171147456334194
EHI02075	EHI02113	0.041420118343195256	0.008265105642085269	0.0028028658789222005
EHI02075	EHI02066	0.2129032258064516	0.3924938225449036	0.08827650045685687
EHI02075	EHI02119	0.44186046511627897	0.4594134988244418	0.10554985261478633
EHI02075	EHI02123	0.5206611570247932	0.48880125696620647	0.09290909789104396
EHI02113	EHI02066	0.2702702702702702	0.4121035049194264	0.08144535309328105
EHI02113	EHI02119	0.5081967213114753	0.4912527022743173	0.11521361831131205
EHI02113	EHI02123	0.5789473684210527	0.5174242949997336	0.09518306894755602
EHI02066	EHI02119	0.2407407407407407	0.17285534688598447	0.0883161559801462
EHI02066	EHI02123	0.3400000000000001	0.10715554716932962	0.03481731976248803
EHI02119	EHI02123	0.10810810810810811	0.09033715477572679	0.029159052468874402
